time_ns,iq_count,state,old_state,num_ofdm_symbol,ht_ready,ofdm_in_stb,eq_out_stb_delayed,ofdm_symbol_eq_out_pulse,rate,len,num_bits_to_decode,n_ofdm_sym,n_bit_in_last_sym,deinter_decode_limit,deinter_count,demod_stb,deinter_stb,conv_in_stb,conv_in_stb_dly,vit_valid,conv_stb,descr_stb,bit_stb,byte_stb,byte_count,byte,fcs_stb,fcs_ok
36025000,698,6,6,5,1,0,0,0,0b,57,48,1,130,48,10,0,1,1,1,0,0,0,0,0,0,00,0,0
36035000,698,6,6,5,1,0,0,0,0b,57,48,1,130,48,11,0,1,1,1,0,0,0,0,0,0,00,0,0
36045000,698,6,6,5,1,0,0,0,0b,57,48,1,130,48,12,0,1,1,1,0,0,0,0,0,0,00,0,0
36055000,698,6,6,5,1,0,0,0,0b,57,48,1,130,48,13,0,1,1,1,0,0,0,0,0,0,00,0,0
36065000,698,6,6,5,1,0,0,0,0b,57,48,1,130,48,14,0,1,1,1,0,0,0,0,0,0,00,0,0
36075000,699,6,6,5,1,0,0,0,0b,57,48,1,130,48,15,0,1,1,1,0,0,0,0,0,0,00,0,0
36085000,699,6,6,5,1,0,0,0,0b,57,48,1,130,48,16,0,1,1,1,0,0,0,0,0,0,00,0,0
36095000,699,6,6,5,1,0,0,0,0b,57,48,1,130,48,17,0,1,1,1,0,0,0,0,0,0,00,0,0
36105000,699,6,6,5,1,0,0,0,0b,57,48,1,130,48,18,0,1,1,1,0,0,0,0,0,0,00,0,0
36115000,699,6,6,5,1,0,0,0,0b,57,48,1,130,48,19,0,1,1,1,0,0,0,0,0,0,00,0,0
36125000,700,6,6,5,1,0,0,0,0b,57,48,1,130,48,20,0,1,1,1,0,0,0,0,0,0,00,0,0
36135000,700,6,6,5,1,0,0,0,0b,57,48,1,130,48,21,0,1,1,1,0,0,0,0,0,0,00,0,0
36145000,700,6,6,5,1,0,0,0,0b,57,48,1,130,48,22,0,1,1,1,0,0,0,0,0,0,00,0,0
36155000,700,6,6,5,1,0,0,0,0b,57,48,1,130,48,23,0,1,1,1,0,0,0,0,0,0,00,0,0
39195000,761,6,6,5,1,0,1,0,0b,57,48,1,130,48,24,0,0,0,0,0,0,0,0,0,0,00,0,0
39205000,761,6,6,5,1,1,1,0,0b,57,48,1,130,48,24,0,0,0,0,0,0,0,0,0,0,00,0,0
39215000,761,6,6,5,1,1,1,0,0b,57,48,1,130,48,24,0,0,0,0,0,0,0,0,0,0,00,0,0
