time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
69215000,1361,288,5,28,12,14,00,1b0d8,-730,-722,730,722,03,02,00,32,260096
69225000,1362,289,5,29,12,14,02,1bed8,-733,725,733,725,00,03,02,33,258064
69235000,1362,290,5,30,12,14,03,1bedf,-733,725,733,725,02,00,03,33,258064
69245000,1362,291,5,31,12,14,00,1b0d8,725,733,725,733,02,02,00,34,258064
69255000,1362,292,5,32,12,14,02,1bed8,720,720,720,720,03,02,02,35,262144
69275000,1363,293,5,33,12,14,03,1bedf,720,720,720,720,02,03,03,37,262144
69285000,1363,294,5,34,12,14,03,1bedf,722,728,722,728,03,02,03,38,258064
69295000,1363,295,5,35,12,14,02,1bed8,719,717,719,717,03,03,02,39,260104
69305000,1363,296,5,36,12,14,03,1bedf,717,728,717,728,03,03,03,40,260112
69315000,1363,297,5,37,12,14,03,1bedf,717,722,717,722,03,03,03,41,262144
69325000,1364,298,5,38,12,14,03,1bedf,720,-728,720,728,03,03,03,42,262144
69335000,1364,299,5,39,12,14,03,1bedf,720,-728,720,728,01,03,03,43,262144
69345000,1364,300,5,40,12,14,03,1bedf,728,720,728,720,01,01,03,44,262144
69355000,1364,301,5,41,12,14,01,1b0df,720,-728,720,728,03,01,01,45,262144
